CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
06/03/2017,3:06:00 AM,1A,500 N BOULDIN ST,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Ellwood Park/Monument,-76.57143,39.29724,VEHICLE,1
06/03/2017,12:00:00 AM,1A,1800 RUTLAND AV,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.59302,39.31115,STREET,1
06/02/2017,6:45:00 PM,1A,700 YALE AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Yale Heights,-76.68903,39.27456,STREET,1
05/31/2017,3:59:00 PM,1A,2400 PICKERING DR,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Hamilton Hills,-76.56433,39.36957,PARKING LOT,1
05/31/2017,11:32:00 PM,1A,1900 RIDGEHILL AV,HOMICIDE,Outside,FIREARM,WESTERN,Mondawmin,-76.64879,39.31141,STREET,1
05/30/2017,3:04:00 PM,1A,1200 N CAROLINE ST,HOMICIDE,Outside,FIREARM,EASTERN,Oliver,-76.59802,39.30431,STREET,1
05/30/2017,12:37:00 AM,1A,4000 W BELVEDERE AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Woodmere,-76.68246,39.34424,STREET,1
05/29/2017,11:38:00 PM,1A,1700 RUXTON AV,HOMICIDE,Inside,FIREARM,WESTERN,Coppin Heights/Ash-Co-Eas,-76.65503,39.30784,DWELLING,1
05/26/2017,7:52:00 PM,1A,1800 HOPE ST,HOMICIDE,Outside,FIREARM,EASTERN,Oliver,-76.60201,39.31052,STREET,1
05/25/2017,3:19:00 PM,1O,0 S HIGH ST,HOMICIDE,Inside,OTHER,SOUTHEASTERN,Jonestown,-76.60418,39.29014,DAY CARE FACILITY,1
05/24/2017,12:53:00 AM,1A,400 S PAYSON ST,HOMICIDE,Outside,FIREARM,SOUTHERN,Carrollton Ridge,-76.6484,39.28272,STREET,1
05/24/2017,12:45:00 PM,1A,1300 N CALHOUN ST,HOMICIDE,Outside,FIREARM,WESTERN,Sandtown-Winchester,-76.64042,39.30359,STREET,1
05/23/2017,9:42:00 PM,1A,5100 PARK HEIGHTS AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Central Park Heights,-76.67491,39.34843,STREET,1
05/22/2017,8:55:00 PM,1A,1700 ABBOTSTON ST,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Coldstream Homestead Mont,-76.59283,39.32191,STREET,1
05/22/2017,4:20:00 AM,1A,5100 YORK RD,HOMICIDE,Outside,FIREARM,NORTHERN,Radnor-Winston,-76.60974,39.35023,NA,1
05/21/2017,2:26:00 PM,1A,300 COLLINS AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Irvington,-76.68357,39.28111,STREET,1
05/19/2017,10:55:00 PM,1K,1800 ST PAUL ST,HOMICIDE,Outside,KNIFE,CENTRAL,Charles North,-76.6149,39.30994,ALLEY,1
05/18/2017,4:17:00 AM,1A,500 SHERIDAN AV,HOMICIDE,Outside,FIREARM,NORTHERN,Woodbourne-McCabe,-76.60964,39.35466,STREET,1
